1,1,0.01639344262295082,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
1,2,0.01639344262295082,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
2,1,0.03278688524590164,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
2,2,0.03278688524590164,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
3,1,0.04918032786885246,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
3,2,0.04918032786885246,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
4,1,0.06557377049180328,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
4,2,0.06557377049180328,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
5,1,0.08196721311475409,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
5,2,0.08196721311475409,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
6,1,0.09836065573770492,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
6,2,0.09836065573770492,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
7,1,0.11475409836065574,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
7,2,0.11475409836065574,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
8,1,0.13114754098360656,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
8,2,0.13114754098360656,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
9,1,0.14754098360655737,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
9,2,0.14754098360655737,UIAgentExtended@12,(Offer  bid:Bid[price: 150000yen, DepartureAirPort: Kansai, DepartureDate: Sep2_2011])
10,1,0.16393442622950818,BoulwareNegotiationParty@11,(Offer  bid:Bid[price: 300000yen, DepartureAirPort: Narita, DepartureDate: Sep3_2011])
