1,1,0.01639344262295082,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
1,2,0.01639344262295082,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
2,1,0.03278688524590164,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
2,2,0.03278688524590164,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
3,1,0.04918032786885246,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
3,2,0.04918032786885246,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
4,1,0.06557377049180328,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
4,2,0.06557377049180328,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
5,1,0.08196721311475409,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
5,2,0.08196721311475409,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
6,1,0.09836065573770492,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
6,2,0.09836065573770492,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
7,1,0.11475409836065574,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
7,2,0.11475409836065574,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
8,1,0.13114754098360656,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
8,2,0.13114754098360656,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
9,1,0.14754098360655737,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
9,2,0.14754098360655737,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
10,1,0.16393442622950818,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
10,2,0.16393442622950818,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
11,1,0.18032786885245902,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
11,2,0.18032786885245902,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
12,1,0.19672131147540983,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
12,2,0.19672131147540983,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
13,1,0.21311475409836064,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
13,2,0.21311475409836064,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
14,1,0.22950819672131148,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
14,2,0.22950819672131148,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
15,1,0.2459016393442623,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
15,2,0.2459016393442623,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
16,1,0.26229508196721313,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
16,2,0.26229508196721313,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
17,1,0.2786885245901639,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
17,2,0.2786885245901639,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
18,1,0.29508196721311475,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
18,2,0.29508196721311475,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
19,1,0.3114754098360656,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
19,2,0.3114754098360656,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
20,1,0.32786885245901637,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
20,2,0.32786885245901637,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
21,1,0.3442622950819672,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
21,2,0.3442622950819672,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
22,1,0.36065573770491804,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
22,2,0.36065573770491804,SimpleAgent@7,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
23,1,0.3770491803278688,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
23,2,0.3770491803278688,SimpleAgent@7,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
24,1,0.39344262295081966,BoulwareNegotiationParty@6,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
24,2,0.39344262295081966,SimpleAgent@7,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
