1,1,0.01639344262295082,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
1,2,0.01639344262295082,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
2,1,0.03278688524590164,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
2,2,0.03278688524590164,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
3,1,0.04918032786885246,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
3,2,0.04918032786885246,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
4,1,0.06557377049180328,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
4,2,0.06557377049180328,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
5,1,0.08196721311475409,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
5,2,0.08196721311475409,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
6,1,0.09836065573770492,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
6,2,0.09836065573770492,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
7,1,0.11475409836065574,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
7,2,0.11475409836065574,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
8,1,0.13114754098360656,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
8,2,0.13114754098360656,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
9,1,0.14754098360655737,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
9,2,0.14754098360655737,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
10,1,0.16393442622950818,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
10,2,0.16393442622950818,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
11,1,0.18032786885245902,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
11,2,0.18032786885245902,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
12,1,0.19672131147540983,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
12,2,0.19672131147540983,RandomParty@11,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
13,1,0.21311475409836064,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
13,2,0.21311475409836064,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
14,1,0.22950819672131148,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
14,2,0.22950819672131148,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
15,1,0.2459016393442623,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
15,2,0.2459016393442623,RandomParty@11,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
16,1,0.26229508196721313,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
16,2,0.26229508196721313,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 3 stars])
17,1,0.2786885245901639,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
17,2,0.2786885245901639,RandomParty@11,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
18,1,0.29508196721311475,RandomCounterOfferNegotiationParty@10,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
