1,1,0.01639344262295082,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
1,2,0.01639344262295082,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
2,1,0.03278688524590164,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
2,2,0.03278688524590164,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
3,1,0.04918032786885246,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
3,2,0.04918032786885246,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
4,1,0.06557377049180328,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
4,2,0.06557377049180328,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
5,1,0.08196721311475409,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
5,2,0.08196721311475409,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
6,1,0.09836065573770492,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
6,2,0.09836065573770492,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
7,1,0.11475409836065574,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
7,2,0.11475409836065574,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
8,1,0.13114754098360656,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
8,2,0.13114754098360656,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
9,1,0.14754098360655737,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
9,2,0.14754098360655737,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
10,1,0.16393442622950818,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
10,2,0.16393442622950818,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
11,1,0.18032786885245902,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
11,2,0.18032786885245902,RandomBidderExample@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
12,1,0.19672131147540983,RandomBidderExample@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
