1,1,0.01639344262295082,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
1,2,0.01639344262295082,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
2,1,0.03278688524590164,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
2,2,0.03278688524590164,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
3,1,0.04918032786885246,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
3,2,0.04918032786885246,RandomBidderExample40@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
4,1,0.06557377049180328,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
4,2,0.06557377049180328,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
5,1,0.08196721311475409,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: Hostel])
5,2,0.08196721311475409,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
6,1,0.09836065573770492,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
6,2,0.09836065573770492,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
7,1,0.11475409836065574,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
7,2,0.11475409836065574,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
8,1,0.13114754098360656,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
8,2,0.13114754098360656,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
9,1,0.14754098360655737,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
9,2,0.14754098360655737,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
10,1,0.16393442622950818,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
10,2,0.16393442622950818,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
11,1,0.18032786885245902,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
11,2,0.18032786885245902,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
12,1,0.19672131147540983,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
12,2,0.19672131147540983,RandomBidderExample40@1,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 5 stars])
13,1,0.21311475409836064,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
13,2,0.21311475409836064,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
14,1,0.22950819672131148,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
14,2,0.22950819672131148,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
15,1,0.2459016393442623,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: 3 stars])
15,2,0.2459016393442623,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
16,1,0.26229508196721313,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
16,2,0.26229508196721313,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
17,1,0.2786885245901639,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
17,2,0.2786885245901639,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
18,1,0.29508196721311475,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
18,2,0.29508196721311475,RandomBidderExample40@1,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
19,1,0.3114754098360656,RandomBidderExample20@0,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
19,2,0.3114754098360656,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
20,1,0.32786885245901637,RandomBidderExample20@0,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 5 stars])
20,2,0.32786885245901637,RandomBidderExample40@1,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
21,1,0.3442622950819672,RandomBidderExample20@0,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
