1,1,0.01639344262295082,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
1,2,0.01639344262295082,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
2,1,0.03278688524590164,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
2,2,0.03278688524590164,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 5 stars])
3,1,0.04918032786885246,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
3,2,0.04918032786885246,RandomBidderExample60@3,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
4,1,0.06557377049180328,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: 3 stars])
4,2,0.06557377049180328,RandomBidderExample60@3,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
5,1,0.08196721311475409,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: Hostel])
5,2,0.08196721311475409,RandomBidderExample60@3,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
6,1,0.09836065573770492,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
6,2,0.09836065573770492,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 3 stars])
7,1,0.11475409836065574,RandomBidderExample40@2,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
7,2,0.11475409836065574,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: 5 stars])
8,1,0.13114754098360656,RandomBidderExample40@2,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
8,2,0.13114754098360656,RandomBidderExample60@3,(Offer  bid:Bid[Location: Barcelona, Duration: 2 weeks, Hotel Quality: 5 stars])
9,1,0.14754098360655737,RandomBidderExample40@2,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
9,2,0.14754098360655737,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
10,1,0.16393442622950818,RandomBidderExample40@2,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 3 stars])
10,2,0.16393442622950818,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 2 weeks, Hotel Quality: Hostel])
11,1,0.18032786885245902,RandomBidderExample40@2,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: Hostel])
11,2,0.18032786885245902,RandomBidderExample60@3,(Offer  bid:Bid[Location: Antalya, Duration: 2 weeks, Hotel Quality: 5 stars])
12,1,0.19672131147540983,RandomBidderExample40@2,(Offer  bid:Bid[Location: Antalya, Duration: 1 week, Hotel Quality: Hostel])
12,2,0.19672131147540983,RandomBidderExample60@3,(Offer  bid:Bid[Location: Milan, Duration: 1 week, Hotel Quality: 3 stars])
13,1,0.21311475409836064,RandomBidderExample40@2,(Offer  bid:Bid[Location: Barcelona, Duration: 1 week, Hotel Quality: Hostel])
