Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
1.509;97;;100rounds;Yes;No;2;0.75333;0.89917;0.00000;0.08807;165.250;TheNegotiator@1038;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1039;0.7533333333333333;0.8991666666666667;0.7533333333333333;0.8991666666666667;0.0;0.8991666666666667;0.0;0.0;0.7533333333333333;0.8991666666666667;Amsterdam_party1.xml;Amsterdam_party2.xml
1.357;86;;100rounds;Yes;No;2;0.74333;0.92000;0.00000;0.14407;166.333;ValueModelAgent@1042;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1043;0.92;0.7433333333333333;0.92;0.7433333333333333;0.0;0.7433333333333333;0.0;0.0;0.92;0.7433333333333333;Amsterdam_party1.xml;Amsterdam_party2.xml
1.817;101;;100rounds;Yes;No;2;0.65500;0.87250;0.07328;0.17579;152.750;Gahboninho@1044;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1045;0.6549999999999999;0.8724999999999999;0.6549999999999999;0.8724999999999999;0.0;0.8724999999999999;0.0;0.0;0.6549999999999999;0.8724999999999999;Amsterdam_party1.xml;Amsterdam_party2.xml
3.604;100;;100rounds;Yes;No;2;0.65500;0.87250;0.07328;0.17579;152.750;BRAMAgent@1050;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1051;0.6549999999999999;0.8724999999999999;0.6549999999999999;0.8724999999999999;0.0;0.8724999999999999;0.0;0.0;0.6549999999999999;0.8724999999999999;Amsterdam_party1.xml;Amsterdam_party2.xml
1.636;101;;100rounds;No;No;1;0.00000;0.00000;109.252;119.220;0.00000;KLH@1054;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1055;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Amsterdam_party1.xml;Amsterdam_party2.xml
3.080;100;;100rounds;Yes;No;2;0.49333;0.87000;0.11832;0.33696;136.333;NiceTitForTat@1058;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1059;0.4933333333333333;0.8699999999999999;0.4933333333333333;0.8699999999999999;0.0;0.8699999999999999;0.0;0.0;0.4933333333333333;0.8699999999999999;Amsterdam_party1.xml;Amsterdam_party2.xml
2.681;101;;100rounds;Yes;No;2;0.76667;0.83000;0.06840;0.06840;159.667;IAMhaggler2011@1062;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1063;0.7666666666666667;0.83;0.7666666666666667;0.83;0.0;0.83;0.0;0.0;0.7666666666666667;0.83;Amsterdam_party1.xml;Amsterdam_party2.xml
1.542;87;;100rounds;Yes;No;2;0.65500;0.87250;0.07328;0.17579;152.750;Agent_K2@1066;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1067;0.6549999999999999;0.8724999999999999;0.6549999999999999;0.8724999999999999;0.0;0.8724999999999999;0.0;0.0;0.6549999999999999;0.8724999999999999;Amsterdam_party1.xml;Amsterdam_party2.xml
1.501;93;;100rounds;Yes;No;2;0.78667;0.84333;0.00000;0.07044;163.000;TheNegotiator@1070;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1071;0.7866666666666666;0.8433333333333334;0.7866666666666666;0.8433333333333334;0.0;0.8433333333333334;0.0;0.0;0.7866666666666666;0.8433333333333334;Amsterdam_party2.xml;Amsterdam_party1.xml
1.906;98;;100rounds;Yes;No;2;0.75333;0.89917;0.00000;0.08807;165.250;ValueModelAgent@1074;boa-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_BS-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_AS_first utility value_time to start declining_amount of opponent bids used-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OM-C..Users.Gustavo.Luchetti.Documents.Git.Repos.uu.mas.agent.out.production.uu.mas.agent.mas2022.group7.Group7_OMS_t@1075;0.8991666666666667;0.7533333333333333;0.8991666666666667;0.7533333333333333;0.0;0.7533333333333333;0.0;0.0;0.8991666666666667;0.7533333333333333;Amsterdam_party2.xml;Amsterdam_party1.xml
